암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzMxIyQxIyQzIyQ5OSQzNjEyMjIjNDEjJDEjJDgjJDgz,한나이브 성형외과의원,의원,경기도,안양시 만안구,"경기도 안양시 만안구 안양로 330-1, 3,4,5층 (안양동)",성형외과,2011-06-17
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ5MiQyNjEwMDIjNzEjJDEjJDgjJDgz,한나이브외과의원,의원,경기도,안양시 만안구,"경기도 안양시 만안구 안양로 330-1, 1층 일부, 2, 6, 7층 (안양동)",외과,2015-03-02
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQzIyQwMyQyNjE4MzIjNjEjJDEjJDAjJDgz,한내과의원,의원,경기도,의정부시,경기도 의정부시 평화로552번길 37 (의정부동),내과,1983-04-30
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQ2MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,한내과의원,의원,경기도,용인시 수지구,"경기도 용인시 수지구 진산로 98, 301호 (풍덕천동, 골드라인빌딩)",내과,2001-08-21
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQxMyQzNjE4MzIjNDEjJDEjJDgjJDgz,한내과의원,의원,경기도,이천시,"경기도 이천시 애련정로87번길 58, 한내과의원 (창전동)",내과,2007-09-21
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDQjJDgz,한내과의원,의원,경기도,남양주시,"경기도 남양주시 퇴계원읍 퇴계원로 29, 305호,309호 (송백타운)",내과,2012-08-16
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,한독병원,병원,경기도,수원시 팔달구,경기도 수원시 팔달구 경수대로 487 (인계동),일반의,2003-01-11
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ5OSQyNjE4MzIjNzEjJDEjJDgjJDgz,한독의원,의원,경기도,성남시 수정구,"경기도 성남시 수정구 남문로 61, 2층 (태평동)",일반의,1991-03-12
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQxMyQyNjE4MzIjNDEjJDEjJDgjJDgz,한동재내과의원,의원,경기도,의정부시,"경기도 의정부시 시민로 130, 4층 (의정부동)",내과,2022-11-15
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ2MiQyNjE0ODEjNzEjJDEjJDgjJDgz,한동환신경외과의원,의원,경기도,과천시,"경기도 과천시 별양상가1로 31 (별양동, 제일상가 307호~309호)",신경외과,2007-09-27
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ5IyQ4MiQyNjEwMDIjODEjJDEjJDIjJDgz,한땀성형외과의원,의원,경기도,성남시 분당구,"경기도 성남시 분당구 정자일로198번길 15, 제나프라자 4층 일부호 (정자동)",성형외과,2024-12-09
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ5MiQyNjE4MzIjNDEjJDEjJDgjJDgz,한라의원,의원,경기도,성남시 수정구,"경기도 성남시 수정구 시민로 236, 1,2층 (태평동)",일반의,1991-07-13
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,한림대학교동탄성심병원,종합병원,경기도,화성시,경기도 화성시 큰재봉길 7 (석우동),해당사항없음,2012-09-14
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,한림대학교성심병원,상급종합병원,경기도,안양시 동안구,경기도 안양시 동안구 관평로170번길 22 (평촌동),해당사항없음,1998-12-17
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQ1IyQ3MiQzNjEyMjIjNDEjJDEjJDgjJDgz,한림외과의원,의원,경기도,광명시,"경기도 광명시 오리로 351, 2층 (소하동, 동림프라자)",외과,2000-07-03
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQzIyQ2MiQyNjEyMjIjNDEjJDEjJDgjJDgz,한림의원,의원,경기도,가평군,경기도 가평군 가평읍 석봉로 218,일반의,2004-09-24
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQ4OSQyNjEyMjIjNjEjJDEjJDAjJDgz,한림의원,의원,경기도,남양주시,경기도 남양주시 진접읍 내각1로 88,일반의,1997-08-27
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzUxIyQxIyQ1IyQ2MiQzNjEyMjIjNDEjJDEjJDQjJDgz,한마음 정신 건강의학과 의원,의원,경기도,파주시,"경기도 파주시 문화로 103, 3층 (금촌동, 춘전빌딩)",정신건강의학과,2001-10-25
