date,point,value
20200803,102,22
20200804,201,45
20200805,201,35
20200806,102,11
20200807,102,17
20200808,102,22
20200809,201,10
20200810,201,12
20200811,102,8
20200812,201,33
20200813,102,27
20200814,102,27
20200815,102,27
20200816,102,22
20200817,102,20
20200818,102,30
20200819,102,35
20200820,102,23
20200821,102,14
20200822,102,18
20200823,102,16
20200824,102,24
20200825,102,27
20200826,102,33
20200827,201,16
20200828,102,17
20200829,201,20
20200830,102,12
20200831,102,18
20200901,102,11
20200902,102,15
20200903,102,21
20200904,201,12
20200905,102,33
20200906,102,37
20200907,102,25
20200908,102,28
20200909,201,20
20200910,102,25
20200911,102,28
20200912,102,15
20200913,232,13
20200914,102,23
20200915,102,18
20200916,201,18
20200917,102,23
20200918,102,21
20200919,102,22
20200920,102,16
20200921,102,18
20200922,102,26
20200923,102,25
20200924,102,22
20200925,102,23
20200926,102,30
20200927,201,14
20200928,102,29
20200929,102,23
20200930,102,23
20201001,102,32
20201002,102,33
20201003,102,33
20201004,102,23
20201005,102,23
20201006,102,23
20201007,102,22
20201008,102,46
20201009,102,29
20201010,102,23
20201011,102,32
20201012,102,21
20201013,102,26
20201014,102,19
20201015,102,26
20201016,102,13
20201017,102,28
20201018,102,39
20201019,102,52
20201020,102,55
20201021,201,49
20201022,102,74
20201023,102,22
20201024,102,18
20201025,102,32
20201026,102,33
20201027,102,32
20201028,102,19
20201029,102,22
20201030,102,21
20201031,102,18
20201101,102,63
20201102,102,30
20201103,102,22
20201104,102,21
20201105,102,21
20201106,102,20
20201107,102,84
20201108,102,44
20201109,102,20
20201110,102,24
20201111,102,24
20201112,102,19
20201113,102,33
20201114,102,43
20201115,102,30
20201116,102,25
20201117,102,55
20201118,102,23
20201119,229,13
20201120,102,20
20201121,102,18
20201122,102,22
20201123,102,11
20201124,102,15
20201125,102,27
20201126,102,26
20201127,102,31
20201128,102,17
20201129,102,11
20201130,102,13
20201201,102,14
20201202,102,15
20201203,102,17
20201204,102,15
20201205,201,31
20201206,102,47
20201207,102,31
20201208,102,13
20201209,102,22
20201210,102,65
20201211,102,55
20201212,102,28
20201213,102,30
20201214,102,27
20201215,102,16
20201216,102,17
20201217,102,23
20201218,102,32
20201219,102,19
20201220,102,21
20201221,102,26
20201222,102,55
20201223,102,61
20201224,102,43
20201225,102,27
20201226,102,52
20201227,102,31
20201228,102,76
20201229,102,50
20201230,102,21
20201231,102,13
20210101,102,18
20210102,102,32
20210103,102,23
20210104,102,27
20210105,102,19
20210106,102,20
20210107,102,18
20210108,102,12
20210109,102,15
20210110,102,21
20210111,102,31
20210112,102,70
20210113,102,167
20210114,102,26
20210115,102,78
20210116,102,23
20210117,102,20
20210118,102,47
20210119,229,15
20210120,102,26
20210121,102,32
20210122,102,32
20210123,102,28
20210124,102,12
20210125,102,25
20210126,102,35
20210127,102,28
20210128,102,41
20210129,102,20
20210130,102,47
20210131,102,41
20210201,102,52
20210202,102,26
20210203,102,34
20210204,102,23
20210205,102,38
20210206,102,62
20210207,102,43
20210208,102,18
20210209,102,24
20210210,102,34
20210211,102,39
20210212,102,32
20210213,102,32
20210214,102,20
20210215,102,28
20210216,102,23
20210217,102,48
20210218,102,34
20210219,102,44
20210220,102,64
20210221,102,52
20210222,102,61
20210223,102,43
20210224,102,12
20210225,102,19
20210226,102,35
20210227,102,25
20210228,102,29
20210301,102,23
