지점,지점명,일시,평균상대습도
112,인천,2018-12-27,37.4
112,인천,2018-12-28,41
112,인천,2018-12-29,37.5
112,인천,2018-12-30,42
112,인천,2018-12-31,52.1
112,인천,2019-01-01,57.6
112,인천,2019-01-02,48.8
112,인천,2019-01-03,45.6
112,인천,2019-01-04,67.6
112,인천,2019-01-05,43.4
112,인천,2019-01-06,46.4
112,인천,2019-01-07,59.4
112,인천,2019-01-08,40.8
112,인천,2019-01-09,37
112,인천,2019-01-10,59.3
112,인천,2019-01-11,71.8
112,인천,2019-01-12,61.6
112,인천,2019-01-13,66.9
112,인천,2019-01-14,80.6
112,인천,2019-01-15,67.1
112,인천,2019-01-16,51.4
112,인천,2019-01-17,47.9
112,인천,2019-01-18,52.3
112,인천,2019-01-19,72
112,인천,2019-01-20,46
112,인천,2019-01-21,63.3
112,인천,2019-01-22,70.5
112,인천,2019-01-23,57.5
112,인천,2019-01-24,42.3
112,인천,2019-01-25,37.5
112,인천,2019-01-26,39.4
112,인천,2019-01-27,60.4
112,인천,2019-01-28,45.6
112,인천,2019-01-29,45
112,인천,2019-01-30,69.8
112,인천,2019-01-31,33.4
112,인천,2019-02-01,51.5
112,인천,2019-02-02,61.4
112,인천,2019-02-03,94
112,인천,2019-02-04,43
112,인천,2019-02-05,38.9
112,인천,2019-02-06,62.8
112,인천,2019-02-07,49.3
112,인천,2019-02-08,37.5
112,인천,2019-02-09,36.8
112,인천,2019-02-10,37.9
112,인천,2019-02-11,40.3
112,인천,2019-02-12,46.9
112,인천,2019-02-13,32.5
112,인천,2019-02-14,36.6
112,인천,2019-02-15,81.1
112,인천,2019-02-16,61.5
112,인천,2019-02-17,55.5
112,인천,2019-02-18,56.5
112,인천,2019-02-19,87.3
112,인천,2019-02-20,71.6
112,인천,2019-02-21,63
112,인천,2019-02-22,66.6
112,인천,2019-02-23,54.9
112,인천,2019-02-24,65.8
112,인천,2019-02-25,67.6
112,인천,2019-02-26,46
112,인천,2019-02-27,48.5
